gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
A1BG;0,00;1,16;1,34;-0,86
A1CF;0,00;0,93;0,83;1,24
A2M;0,00;0,85;0,77;2,76
A2ML1;0,00;0,93;0,95;1,66
A3GALT2;0,00;1,68;1,53;-4,08
A4GALT;0,08;1,11;1,39;-0,28
A4GNT;0,02;0,94;1,38;1,06
AAAS;0,00;0,97;0,92;0,89
AACS;0,00;1,01;0,97;0,48
AADAC;0,00;1,03;1,13;0,35
AADACL2;0,00;1,02;1,53;0,47
AADACL3;0,00;1,06;1,25;0,13
AADACL4;0,01;1,05;1,06;0,18
AADAT;0,46;0,80;0,63;2,03
AAGAB;0,00;1,27;1,16;-1,00
AAK1;1,00;0,83;0,41;2,70
AAMP;1,00;0,79;0,37;2,40
AANAT;0,00;1,19;1,28;-0,47
AAR2;0,00;0,90;1,47;1,41
AARD;0,00;1,30;1,72;-0,87
AARS1;0,00;0,97;0,77;1,05
AARS2;0,00;0,90;0,75;1,90
AARSD1;0,00;1,00;1,12;0,65
AASDH;0,00;0,98;0,95;0,91
AASDHPPT;0,02;1,03;0,75;0,43
AASS;0,00;0,93;0,95;1,51
AATF;0,00;0,97;1,03;0,88
AATK;0,00;1,45;1,57;-5,68
ABAT;0,00;0,98;0,87;0,75
ABCA1;0,00;0,87;0,56;3,08
ABCA12;0,00;0,89;0,58;2,93
ABCA13;0,00;1,03;1,06;-0,10
ABCA2;1,00;0,85;0,44;3,74
ABCA3;0,00;0,96;0,61;1,31
ABCA4;0,00;0,96;0,79;1,38
ABCA5;0,00;1,02;0,97;0,34
ABCA6;0,00;1,07;1,04;-0,33
ABCA7;0,00;1,22;1,37;-3,59
ABCA8;0,00;1,00;1,09;0,54
ABCA9;0,00;0,93;1,01;1,63
ABCB1;0,00;0,85;0,58;2,77
ABCB10;0,00;1,02;1,14;0,35
ABCB11;0,00;0,96;0,74;1,21
ABCB4;0,00;0,79;0,62;3,56
ABCB5;0,00;1,20;1,18;-2,06
ABCB6;0,00;0,98;0,98;0,90
ABCB8;0,00;0,97;0,89;0,95
ABCB9;0,00;0,96;0,80;1,09
ABCC1;0,00;0,91;0,56;2,03
ABCC10;0,00;0,90;0,89;2,22
ABCC11;0,00;0,97;1,00;1,07
ABCC2;0,00;0,97;0,99;1,04
ABCC3;0,00;0,96;0,83;1,25
ABCC4;0,00;0,88;0,65;2,27
ABCC5;1,00;0,72;0,46;4,84
ABCC6;0,00;0,97;0,92;1,03
ABCC8;0,00;0,86;0,83;2,85
ABCD2;0,00;0,83;0,71;2,31
ABCD3;0,99;0,80;0,48;2,48
ABCD4;0,00;1,01;0,77;0,53
ABCE1;1,00;0,50;0,47;4,76
ABCF1;0,00;0,76;0,69;3,38
ABCF2;0,00;0,69;0,61;3,71
ABCG1;0,20;0,84;0,57;2,33
ABCG2;0,00;1,01;1,31;0,51
ABCG4;0,00;0,74;0,69;3,38
ABCG5;0,00;1,18;1,22;-1,08
ABCG8;0,00;1,30;1,33;-2,61
ABHD1;0,00;1,11;1,36;-0,32
ABHD10;0,00;0,98;1,04;0,73
ABHD11;0,00;0,95;1,19;0,96
ABHD12;0,00;1,14;0,97;-0,50
ABHD12B;0,00;1,22;1,15;-0,87
ABHD13;0,98;0,78;0,50;2,17
ABHD14A;0,00;1,02;1,08;0,45
ABHD14B;0,00;0,98;1,79;0,72
ABHD15;0,00;1,12;1,48;-0,41
ABHD16A;0,00;0,86;0,69;1,98
ABHD16B;0,00;1,39;1,96;-2,73
ABHD17A;0,21;0,86;0,78;1,50
ABHD17B;0,86;0,68;0,58;2,78
ABHD17C;0,01;0,78;0,92;2,06
ABHD18;0,00;1,04;1,03;0,34
ABHD2;0,55;0,76;0,57;2,65
ABHD3;0,00;1,07;1,21;0,06
ABHD5;0,00;0,99;0,92;0,71
ABHD6;0,00;0,93;1,07;1,09
ABHD8;0,25;0,96;0,66;0,99
ABI1;1,00;0,76;0,41;2,70
ABI2;0,45;0,86;0,59;1,82
ABI3;0,00;1,13;1,11;-0,39
ABI3BP;0,00;1,00;0,95;0,56
ABITRAM;0,00;1,08;1,18;0,19
ABL1;1,00;0,74;0,19;4,29
ABL2;0,00;0,87;0,58;2,40
ABLIM2;0,00;1,03;0,74;0,27
ABLIM3;0,00;0,91;0,69;1,56
ABR;1,00;0,77;0,43;3,36
ABRA;0,00;1,04;0,99;0,28
ABRACL;0,11;1,21;1,24;-0,09
ABRAXAS1;0,00;1,05;1,35;0,29
ABRAXAS2;0,43;0,94;0,64;1,06
ABT1;0,00;1,16;1,20;-0,54
ABTB1;0,00;1,01;1,00;0,53
ABTB2;0,00;1,00;0,73;0,66
ACAA1;0,00;1,00;1,20;0,62
ACAA2;0,00;1,03;1,15;0,41
ACACA;1,00;0,51;0,37;10,23
ACAD10;0,00;0,94;1,05;1,47
ACAD11;0,00;0,98;1,01;0,78
ACAD8;0,00;0,97;1,11;0,89
ACAD9;0,00;0,98;0,88;0,86
ACADL;0,00;0,99;1,26;0,71
ACADM;0,00;1,02;1,07;0,42
ACADS;0,00;0,98;0,85;0,79
ACADSB;0,00;1,09;0,89;-0,10
ACADVL;0,00;1,05;1,08;0,10
ACAN;1,00;1,02;0,38;0,32
ACAP1;0,00;0,79;0,58;2,95
ACAP2;1,00;0,74;0,47;3,09
ACAP3;0,00;1,22;0,82;-1,95
ACAT1;0,00;0,94;0,80;1,07
ACAT2;0,00;0,97;0,99;0,85
