gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
MED13;1,00;0,82;0,03;2,62
NIPBL;1,00;0,62;0,03;5,57
SMC3;1,00;0,32;0,04;6,40
CNOT1;1,00;0,46;0,04;7,25
RLF;1,00;0,73;0,04;3,46
PCF11;1,00;0,79;0,04;2,66
FNDC3B;1,00;0,86;0,04;1,87
TAF1;1,00;0,48;0,04;5,49
RSF1;1,00;0,88;0,04;1,77
NCKAP1;1,00;0,55;0,04;4,27
KDM2A;1,00;0,48;0,05;5,31
BRD4;1,00;0,69;0,05;3,59
HELZ;1,00;0,76;0,05;3,30
FBN1;1,00;0,68;0,05;5,06
XPO1;1,00;0,32;0,05;6,01
PRR12;1,00;0,81;0,05;2,98
USP9X;1,00;0,44;0,05;6,41
POLA1;1,00;0,82;0,05;1,99
SYNGAP1;1,00;0,48;0,05;5,60
PRKDC;1,00;0,86;0,05;2,76
HDAC4;1,00;0,75;0,05;2,93
SMG1;1,00;0,81;0,05;3,30
ZC3H4;1,00;0,99;0,05;0,66
COL5A1;1,00;0,87;0,06;2,07
SMARCA4;1,00;0,44;0,06;6,85
TNPO1;1,00;0,50;0,06;4,33
AGO1;1,00;0,36;0,06;5,68
ARHGAP35;1,00;0,64;0,06;4,16
LRP1;1,00;0,60;0,06;8,25
TOP1;1,00;0,43;0,06;4,47
TRIP12;1,00;0,64;0,06;4,64
KMT2E;1,00;0,92;0,06;1,42
HCFC1;1,00;0,51;0,06;5,63
UBTF;1,00;0,43;0,06;4,75
HUWE1;1,00;0,43;0,06;8,87
KDM3B;1,00;0,59;0,06;4,98
TRRAP;1,00;0,55;0,06;8,17
GRIN2B;1,00;0,52;0,06;5,42
USP7;1,00;0,41;0,06;5,65
ATP1A3;1,00;0,33;0,06;6,33
ASH1L;1,00;0,79;0,06;3,47
ANKRD17;1,00;0,63;0,06;5,36
SMC1A;1,00;0,23;0,06;6,45
NPEPPS;1,00;0,54;0,06;3,98
CHERP;1,00;0,55;0,06;4,25
MED13L;1,00;0,74;0,06;3,69
RPRD2;1,00;0,84;0,06;2,12
KMT2A;1,00;0,64;0,07;6,23
CREBBP;1,00;0,75;0,07;3,90
SF3B1;1,00;0,22;0,07;7,70
EIF3B;1,00;0,83;0,07;1,82
PPFIA1;1,00;0,95;0,07;1,06
ZSWIM6;1,00;0,56;0,07;4,18
PRPF3;1,00;0,50;0,07;3,85
KAT6A;1,00;0,87;0,07;2,07
KMT2B;1,00;0,80;0,07;3,43
SIN3A;1,00;0,59;0,07;4,39
CHD2;1,00;0,57;0,07;5,21
ARID1A;1,00;0,74;0,07;3,66
GLTSCR1L;1,00;0,83;0,07;1,97
SCN1A;1,00;0,59;0,07;5,22
MED12;1,00;0,42;0,07;6,58
TJP1;1,00;0,91;0,07;1,54
SPEN;1,00;0,85;0,07;2,89
WDFY3;1,00;0,65;0,07;5,82
HDAC6;1,00;0,64;0,07;3,29
EHMT1;1,00;0,94;0,07;1,16
JMJD1C;1,00;0,93;0,07;1,51
MAP3K12;1,00;0,69;0,07;2,99
GGNBP2;1,00;0,60;0,07;3,26
CASK;1,00;0,43;0,07;4,25
TLE3;1,00;0,58;0,07;3,72
CHD6;1,00;0,75;0,07;4,00
UBR5;1,00;0,59;0,07;6,21
EIF4G1;1,00;0,84;0,07;2,22
NBEA;1,00;0,63;0,07;5,51
SMARCA5;1,00;0,40;0,07;5,42
TSC2;1,00;1,08;0,07;-0,33
SUPT5H;1,00;0,56;0,07;4,56
GREB1L;1,00;0,56;0,08;5,37
PTCH1;1,00;0,89;0,08;1,68
CHD7;1,00;0,81;0,08;3,22
RAD54L2;1,00;0,75;0,08;3,13
CNOT3;1,00;0,56;0,08;3,76
AHDC1;1,00;0,79;0,08;2,86
U2SURP;1,00;0,54;0,08;4,09
RBM25;1,00;0,50;0,08;4,31
GIGYF2;1,00;0,82;0,08;2,24
MBTD1;1,00;0,53;0,08;3,45
DCAF5;1,00;0,72;0,08;2,88
SUV420H1;1,00;0,70;0,08;2,79
RABGAP1;1,00;0,71;0,08;2,96
KHSRP;1,00;0,51;0,08;3,83
TM9SF2;1,00;0,58;0,08;3,27
MATR3;1,00;0,70;0,08;2,73
PHF21A;1,00;0,66;0,08;2,86
NAV1;1,00;0,69;0,08;4,15
HIVEP2;1,00;0,90;0,08;1,83
OGT;1,00;0,25;0,08;5,67
RBBP6;1,00;0,92;0,08;1,49
GTPBP4;1,00;1,08;0,08;0,08
MYBL1;1,00;0,76;0,08;2,13
TEX11;1,00;0,79;0,08;1,81
DYNC1H1;1,00;0,42;0,08;10,97
SBNO1;1,00;0,70;0,08;3,36
THOC2;1,00;0,37;0,08;5,53
PRKCB;1,00;0,50;0,08;3,99
INO80;1,00;0,71;0,08;3,53
TAF4;1,00;0,71;0,08;2,68
FLNA;1,00;0,74;0,08;3,78
TRIM28;1,00;0,77;0,08;2,33
CHD8;1,00;0,59;0,08;5,95
RBM33;1,00;0,86;0,08;1,80
SNRNP200;1,00;0,55;0,08;5,94
XPO6;1,00;0,67;0,08;3,48
SMARCAD1;1,00;0,63;0,08;3,49
FRMPD4;1,00;0,83;0,08;1,95
MACF1;1,00;0,85;0,08;3,43
WAC;1,00;0,85;0,08;1,51
BRWD3;1,00;0,59;0,08;4,27
C17orf104;1,00;0,83;0,08;1,83
ATP2B1;1,00;0,46;0,08;5,29
EIF4G2;1,00;0,68;0,09;2,98
ZNF462;1,00;0,79;0,09;3,35
WDR26;1,00;0,53;0,09;3,58
CUL4B;1,00;0,47;0,09;3,77
TRIM33;1,00;0,52;0,09;4,49
STXBP1;1,00;0,42;0,09;4,26
TOPBP1;1,00;0,86;0,09;1,97
NF2;1,00;0,72;0,09;2,29
TET3;1,00;0,79;0,09;2,88
MN1;1,00;0,83;0,09;2,16
SUPT6H;1,00;0,59;0,09;5,14
RP11-762I7,5;1,00;0,71;0,09;2,27
NHS;1,00;0,86;0,09;1,82
RPS6KA3;1,00;0,29;0,09;4,52
MYT1L;1,00;0,55;0,09;4,77
UBP1;1,00;0,59;0,09;2,99
PLCL2;1,00;0,65;0,09;3,33
SPTBN1;1,00;0,70;0,09;4,54
MYH9;1,00;0,75;0,09;3,47
ZDHHC5;1,00;0,82;0,09;1,85
LUC7L3;1,00;0,61;0,09;2,58
COPB2;1,00;0,73;0,09;2,56
DNAJC14;1,00;0,86;0,09;1,57
RNF17;1,00;0,88;0,09;1,77
ANK3;1,00;0,87;0,09;2,79
F8;1,00;0,81;0,09;2,47
TM9SF3;1,00;0,49;0,09;3,51
DLG3;1,00;0,63;0,09;2,88
MGA;1,00;0,96;0,09;1,10
ANKRD52;1,00;0,55;0,09;4,49
STAG2;1,00;0,39;0,09;4,94
SATB2;1,00;0,50;0,09;4,05
USP34;1,00;0,88;0,09;2,34
MAP3K2;1,00;0,71;0,09;2,31
PREX1;1,00;0,72;0,09;3,70
MED14;1,00;0,54;0,09;4,13
CYFIP2;1,00;0,41;0,09;6,01
ZNF407;1,00;0,98;0,09;0,86
KPNB1;1,00;0,27;0,09;5,93
ETV5;1,00;0,76;0,09;1,99
CUL2;1,00;0,61;0,09;3,25
HNRNPM;1,00;0,71;0,09;2,74
PIAS1;1,00;0,66;0,09;2,72
DAAM2;1,00;0,92;0,09;1,27
EFTUD2;1,00;0,58;0,09;4,03
YTHDC1;1,00;0,73;0,09;2,48
NCBP1;1,00;0,58;0,09;3,52
TCF20;1,00;1,04;0,10;0,09
DLL1;1,00;0,83;0,10;1,82
UBR4;1,00;0,73;0,10;5,68
STAT3;1,00;0,36;0,10;4,99
IGF2BP3;1,00;0,75;0,10;2,12
NSD1;1,00;0,79;0,10;3,41
SRCAP;1,00;0,90;0,10;2,13
ZNF777;1,00;0,69;0,10;3,09
HNRNPK;1,00;0,39;0,10;3,99
SCAF8;1,00;0,86;0,10;1,90
ARID2;1,00;0,80;0,10;2,73
CCT3;1,00;0,91;0,10;1,16
COL5A2;1,00;0,82;0,10;2,44
PHC3;1,00;0,86;0,10;1,72
GATAD2B;1,00;0,59;0,10;3,16
FBXO11;1,00;0,49;0,10;4,38
NOTCH1;1,00;0,80;0,10;3,45
COL3A1;1,00;0,65;0,10;4,09
PPP3CB;1,00;0,43;0,10;3,79
ILF3;1,00;0,74;0,10;2,70
PLEKHA5;1,00;0,93;0,10;1,24
ZNF521;1,00;0,80;0,10;2,45
TAB2;1,00;0,84;0,10;1,61
CTNND2;1,00;0,76;0,10;2,77
DDX5;1,00;0,65;0,10;2,76
ACTN4;1,00;0,56;0,10;4,16
UPF2;1,00;0,71;0,10;3,19
CARM1;1,00;0,43;0,10;4,25
PAXIP1;1,00;0,66;0,10;3,28
BPTF;1,00;0,77;0,10;3,71
EP300;1,00;0,89;0,10;2,03
FBXL19;1,00;0,52;0,10;3,87
CREBRF;1,00;0,71;0,10;2,36
HDAC2;1,00;0,36;0,10;4,05
SP1;1,00;0,92;0,10;1,14
MAPK8IP2;1,00;0,73;0,10;2,56
AP2A1;1,00;0,55;0,10;4,40
ARCN1;1,00;0,74;0,10;2,08
SPTAN1;1,00;0,62;0,10;5,52
RPTOR;1,00;0,58;0,10;4,94
CAND1;1,00;0,59;0,10;4,16
COPS2;1,00;0,28;0,10;4,13
SALL4;1,00;0,94;0,10;1,08
CACNA1C;1,00;0,53;0,10;6,47
ARID1B;1,00;0,84;0,10;2,59
PSMD2;1,00;0,67;0,10;3,09
PSMD3;1,00;0,73;0,10;2,28
KMT2D;1,00;0,84;0,10;3,73
UBAP2L;1,00;0,68;0,10;3,34
ZNF148;1,00;0,58;0,10;3,52
BTK;1,00;0,35;0,10;4,04
RRM1;1,00;0,52;0,10;3,99
PPP2R5E;1,00;0,38;0,10;3,83
RFX3;1,00;0,59;0,10;3,47
BIRC6;1,00;0,85;0,10;3,21
LMNB2;1,00;0,99;0,10;0,66
